athlete_id,tournament_date,world_ranking,world_tour_ranking,olympic_rank
72435,2025-01-07,9,16,
72435,2025-01-14,9,7,
72435,2025-01-21,9,3,
72435,2025-01-28,7,3,
72435,2025-02-04,7,5,
72435,2025-02-11,7,5,
72435,2025-02-18,7,5,
72435,2025-02-25,7,5,
72435,2025-03-04,7,7,
72435,2025-03-11,12,10,
72435,2025-03-18,11,5,
72435,2025-03-25,10,6,
72435,2025-04-01,10,6,
72435,2025-04-08,10,6,
72435,2025-04-15,11,6,
72435,2025-04-22,11,6,
72435,2025-04-29,11,6,
72435,2025-05-06,18,6,
72435,2025-05-13,19,7,
72435,2025-05-20,25,12,
72435,2025-05-27,27,17,
72435,2025-06-03,22,11,
72435,2025-06-10,16,10,
69560,2025-01-07,51,6,
69560,2025-01-14,51,10,
69560,2025-01-21,49,21,
69560,2025-01-28,48,28,
69560,2025-02-04,46,18,
69560,2025-02-11,46,18,
69560,2025-02-18,46,18,
69560,2025-02-25,46,18,
69560,2025-03-04,48,19,
69560,2025-03-11,49,19,
69560,2025-03-18,48,29,
69560,2025-03-25,45,30,
69560,2025-04-01,45,30,
69560,2025-04-08,45,30,
69560,2025-04-15,42,30,
69560,2025-04-22,42,30,
69560,2025-04-29,42,30,
69560,2025-05-06,41,30,
69560,2025-05-13,40,33,
69560,2025-05-20,37,37,
69560,2025-05-27,38,38,
69560,2025-06-03,37,39,
69560,2025-06-10,37,41,
71612,2025-01-07,11,9,
71612,2025-01-14,9,4,
71612,2025-01-21,9,6,
71612,2025-01-28,9,8,
71612,2025-02-04,9,10,
71612,2025-02-11,9,10,
71612,2025-02-18,9,10,
71612,2025-02-25,9,10,
71612,2025-03-04,9,11,
71612,2025-03-11,9,15,
71612,2025-03-18,9,10,
71612,2025-03-25,9,8,
71612,2025-04-01,9,8,
71612,2025-04-08,9,8,
71612,2025-04-15,10,8,
71612,2025-04-22,10,8,
71612,2025-04-29,10,8,
71612,2025-05-06,10,8,
71612,2025-05-13,10,9,
71612,2025-05-20,10,6,
71612,2025-05-27,10,10,
71612,2025-06-03,12,8,
71612,2025-06-10,11,8,
57372,2025-01-07,69,3,
57372,2025-01-14,56,2,
57372,2025-01-21,43,2,
57372,2025-01-28,37,2,
57372,2025-02-04,37,2,
57372,2025-02-11,37,2,
57372,2025-02-18,30,2,
57372,2025-02-25,30,2,
57372,2025-03-04,25,2,
57372,2025-03-11,20,2,
57372,2025-03-18,20,2,
57372,2025-03-25,21,3,
57372,2025-04-01,18,3,
57372,2025-04-08,18,3,
57372,2025-04-15,17,3,
57372,2025-04-22,17,3,
57372,2025-04-29,17,3,
57372,2025-05-06,18,3,
57372,2025-05-13,19,3,
57372,2025-05-20,18,4,
57372,2025-05-27,16,3,
57372,2025-06-03,17,4,
57372,2025-06-10,17,4,
