athlete_id,career_best_ranking,latest_ranking
68870,6,21
83950,6,35
68322,34,34
68317,34,38
69093,28,37
79164,30,32
93627,1,50
92160,52,54
91814,55,58
86975,62,62
91651,53,67
69967,70,70
88046,94,94
95439,93,111
82483,99,109
62720,33,126
75537,114,114
89814,109,117
62932,86,134
64768,119,120
73886,108,128
60710,129,129
83657,83,137
71954,143,143
94972,146,146
77003,11,240
66356,120,153
98859,151,174
70824,93,203
64794,66,173
99595,108,178
96974,116,188
61988,189,191
82572,196,196
61880,201,204
67900,208,208
89890,203,210
95489,68,264
74264,212,216
81656,224,227
92114,134,242
83039,219,244
98572,247,247
86556,233,256
66842,226,257
84479,230,265
66768,230,268
62933,141,317
71877,217,300
87688,203,301
81692,303,312
79065,305,313
91347,188,320
85843,290,346
81208,346,356
82670,97,359
39666,308,364
60967,38,376
95021,370,374
31920,377,383
73173,2,18
88471,22,22
59687,37,37
74481,40,42
91807,39,39
80402,32,49
58664,62,63
86604,49,68
99042,66,66
70595,74,74
76851,60,77
66290,48,80
59500,88,88
83856,57,94
73387,86,96
90287,79,105
89501,128,128
90717,115,154
81727,62,144
96751,144,156
74880,157,157
75628,42,158
83984,72,159
66005,97,186
80146,169,183
79180,191,191
78187,204,205
93187,75,206
99714,55,271
97168,221,221
66778,136,216
86431,238,238
88718,246,246
58421,158,305
68140,212,252
82685,118,280
53726,225,281
98472,214,284
70319,275,313
55662,299,300
81149,257,308
74952,307,309
81268,319,321
93817,322,324
70689,202,327
76798,269,333
23639,339,341
74073,260,361
93726,246,413
93462,203,354
92109,198,356
72277,272,368
82108,231,393
98084,276,394
83298,395,398
56449,417,417
80615,417,422
89307,431,435
21844,431,435
95863,438,441
72435,1,16
70500,,
69560,37,37
98187,,
77156,40,40
77389,,
73913,81,596
73760,239,246
67367,95,95
74637,,
89369,81,96
68089,,
98935,19,100
66528,,
72267,18,103
60705,,
98216,80,144
70149,,
75034,114,114
74230,,
87743,127,127
84666,177,209
90307,138,138
99941,,
85085,107,169
59000,144,178
80975,176,176
89162,,
80993,185,185
87791,,
56058,85,302
87350,,
95302,109,512
99133,63,297
74827,31,206
69059,222,224
83483,343,391
56434,230,230
81762,234,234
90868,,
95523,238,240
93283,104,241
69148,,
58201,70,253
96119,338,354
94390,132,254
85858,,
64744,258,258
56344,687,694
68809,89,89
87422,142,150
76902,155,512
94794,195,196
85332,223,279
71163,,
64005,151,397
68530,,
60690,254,306
96543,,
90702,314,314
82915,,
89496,,
77429,109,286
55483,283,291
63148,354,354
97089,,
44537,359,359
27037,,
10129,370,370
69814,,
60156,296,388
98291,,
65371,101,401
69313,42,42
85198,429,429
94326,,
69114,249,756
80802,,
86857,433,433
90439,,
91333,264,458
55549,,
74139,458,458
37445,468,468
59311,149,149
76390,148,476
68072,,
70381,457,1270
72035,487,487
45113,,
55495,352,536
94561,96,382
79423,343,635
74511,,
17371,683,690
78497,,
71612,9,11
59966,,
80547,31,39
67676,,
50322,37,43
57265,,
94165,13,328
49765,,
75190,,
99611,74,74
87929,,
81043,83,83
75345,304,304
97171,33,85
77808,,
78620,85,93
67479,,
87492,109,109
83537,,
96221,116,117
74279,,
71963,85,141
72956,112,187
61380,177,383
97262,125,189
97060,,
89342,199,199
88887,,
55625,134,220
74680,,
70456,118,229
88389,,
51651,26,620
89026,,
66328,267,267
81658,,
60313,300,300
56548,,
64577,,
64629,304,680
67261,,
84652,316,316
76070,,
77196,336,336
83535,,
80823,339,339
56836,,
80377,272,340
73766,,
69520,352,355
84031,,
93894,,
99877,,
18791,438,447
57346,,
62285,146,471
93579,,
80071,466,471
94729,,
72031,181,474
72711,,
69619,290,513
17515,,
99915,221,513
81498,,
95164,504,513
88476,201,620
88222,,
98310,272,620
87543,,
91362,613,620
79707,,
68992,613,620
77519,,
90070,613,620
93576,,
67864,330,680
90372,,
79936,,
82869,877,903
56147,,
24711,877,903
72271,,
92700,321,992
57372,16,17
60980,29,31
64431,,
24172,25,54
80447,67,67
96108,73,73
88377,,
78073,46,84
88809,,
54998,85,101
93513,,
44457,180,180
66004,,
98838,140,208
97160,139,213
78600,41,214
67854,,
64772,,
73496,,
92825,297,300
74752,,
78330,339,339
83194,,
92281,377,377
63877,,
43326,,
57604,,
58800,394,418
99486,214,441
33270,274,452
95747,,
69171,589,589
84710,,
75539,574,596
66532,379,385
