athlete_name,athlete_event
ANISH Anish,25m Rapid Fire Pistol Men
BABUTA Arjun,10m Air Rifle Men
BHAKER Manu,10m Air Pistol Women
BHAKER Manu,25m Pistol Women
CHAUHAN Maheshwari,Skeet Women
CHEEMA Arjun Singh,10m Air Pistol Men
CHENAI Kynan,Trap Men
CHOUKSEY Ashi,50m Rifle 3 Positions Women
DHILLON Raiza,Skeet Women
GHOSH Mehuli,10m Air Rifle Women
HAZARIKA Hriday,10m Air Rifle Men
KHANGURA Gurjoat,Skeet Men
KUMARI Rajeshwari,Trap Women
KUSALE Swapnil,50m Rifle 3 Positions Men
MOUDGIL Anjum,50m Rifle 3 Positions Women
NANCY Nancy,10m Air Rifle Women
NARUKA Anant Jeet Singh,Skeet Men
NARWAL Shiva,10m Air Pistol Men
PALAK Palak,10m Air Pistol Women
PANWAR Divyansh Singh,10m Air Rifle Men
PATIL Rudrankksh Balasaheb,10m Air Rifle Men
RAMITA Ramita,10m Air Rifle Women
RAO Surbhi,10m Air Pistol Women
RATHORE Darshna,Skeet Women
SAMRA Sift Kaur,50m Rifle 3 Positions Women
SANGWAN Rhythm,10m Air Pistol Women
SANGWAN Rhythm,25m Pistol Women
SEN Tilottama,10m Air Rifle Women
SHEORAN Akhil,50m Rifle 3 Positions Men
SIDHU Vijayveer,25m Rapid Fire Pistol Men
SINGH Esha,10m Air Pistol Women
SINGH Esha,25m Pistol Women
SINGH Sandeep,10m Air Rifle Men
SINGH Sarabjot,10m Air Pistol Men
SINGH Shreyasi,Trap Women
THADIGOL SUBBARAJU Divya,10m Air Pistol Women
TOMAR Aishwary Pratap Singh,50m Rifle 3 Positions Men
TOMAR Varun,10m Air Pistol Men
TONDAIMAN Prithviraj,Trap Men
VALARIVAN Elavenil,10m Air Rifle Women
